,Author,Genre,Topics,Book type,Publisher,Publication date,Publisher's recommended age(s),Number of pages,Available on,Last updated,Illustrator,Authors,Awards,Publishers,Award,Illustrators
24,Jarrett Lerner,Science,"STEM, Adventures, Friendship, Great Boy Role Models, Middle School, Robots, Science and Nature",Fiction,Aladdin,"September 12, 2017",8 - 12,192,"Nook, Hardback, iBooks, Kindle","March 29, 2019",,,,,,
25,Arthur Yorinks,Picture Book,Magic and Fantasy,Fiction,Abrams Books for Young Readers,"September 1, 2007",,32,,"September 22, 2015",Jos. A. Smith,,,,,
26,Erin Soderberg,Fantasy,"Magic and Fantasy, Adventures, Brothers and Sisters, Great Girl Role Models, Misfits and Underdogs",Fiction,Bloomsbury USA,"June 4, 2013",8 - 12,240,"Paperback, Nook, Hardback, iBooks, Kindle","June 19, 2019",Kelly Light,,,,,
27,,Fantasy,"Superheroes, Adventures, Friendship, Misfits and Underdogs",Fiction,Simon Pulse,"September 29, 2015",13 - 18,560,"Nook, Audiobook (unabridged), Hardback, Kindle","June 19, 2019",,"Scott Westerfeld, Margo Lanagan, Deborah Biancotti",,,,
28,Jewell Parker Rhodes,Contemporary Fiction,,Fiction,"Little, Brown Books for Young Readers","August 16, 2010",10 - 14,224,,"July 13, 2017",,,,,Coretta Scott King Medal and Honors,
29,Kat Falls,Science Fiction,"Magic and Fantasy, Great Girl Role Models, Misfits and Underdogs, Science and Nature",Fiction,Scholastic Press,"September 24, 2013",12 - 17,384,"Nook, Hardback, Kindle","July 13, 2017",,,,,,
30,Ben Hatke,Science Fiction,"Magic and Fantasy, Adventures, Friendship, Great Girl Role Models, Space and Aliens",Fiction,First Second,"February 1, 2011",8 - 12,183,"Paperback, Hardback","June 20, 2019",Ben Hatke,,,,,
31,K.A. Barson,Body Awareness,"Brothers and Sisters, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Viking Juvenile,"July 11, 2013",12 - 17,256,"Nook, Hardback, iBooks, Kindle","June 20, 2019",,,,,,
32,Atinuke,For Beginning Readers,"Brothers and Sisters, Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,EDC Publications,"September 1, 2010",4 - 8,110,"Paperback, Audiobook (unabridged), Hardback","September 10, 2017",Lauren Tobia,,,,,
33,S.J. Kincaid,Science Fiction,"Misfits and Underdogs, Robots, Science and Nature, Space and Aliens",Fiction,HarperCollins Publishers,"July 10, 2012",13 - 17,464,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
34,,Coming of Age,"Friendship, Great Boy Role Models, Great Girl Role Models, Middle School, Misfits and Underdogs",Fiction,jimmy patterson,"March 5, 2018",8 - 12,288,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Laura Park,"James Patterson, Chris Tebbetts",,,,
35,Adam Rapp,Contemporary Fiction,,Fiction,Candlewick Press,"May 12, 2009",,256,,"September 22, 2015",,,,,,
36,Paula Yoo,Coming of Age,,Fiction,HarperCollins Children's Books,"February 1, 2008",,336,,"July 15, 2015",,,,,,
37,Nancy Loewen,Picture Book,"Brothers and Sisters, Cats, Dogs, and Mice",Fiction,Two Lions,"May 7, 2013",1 - 5,24,"Hardback, Kindle","July 13, 2017",Deborah Melmon,,,,,
38,Lindsey Stoddard,Coming of Age,"Friendship, Great Girl Role Models, Middle School, Misfits and Underdogs",Fiction,HarperCollins Children's Books,"January 2, 2018",8 - 18,256,"Paperback, Nook, Hardback, iBooks, Kindle","March 20, 2019",,,,,,
39,Juan Felipe Herrera,Board,"Friendship, Great Girl Role Models, Horses and Farm Animals",Fiction,Candlewick Press,"September 17, 2019",2 - 5,14,Hardback,"December 20, 2019",Blanca Gomez,,,,,
40,Jacqueline West,Fantasy,"Magic and Fantasy, Cats, Dogs, and Mice, Great Girl Role Models, Misfits and Underdogs",Fiction,Dial Books,"June 17, 2014",10 - 17,330,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
41,Jean Ferris,Fairy Tale,,Fiction,Harcourt,"June 1, 2004",,272,,"August 11, 2015",,,,,ALA Best and Notable Books,
42,Adam Silvera,Science Fiction,"Friendship, High School",Fiction,Soho Teen,"July 21, 2015",14 - 18,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 20, 2019",,,,,,
43,Erin Entrada Kelly,Coming of Age,"Friendship, Middle School, Misfits and Underdogs",Fiction,Greenwillow Books,"March 14, 2017",8 - 12,320,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Isabel Roxas,,,,Newbery Medal and Honors,
44,Grace Lin,Fantasy,,Fiction,"Little, Brown and Company","July 1, 2009",9 - 12,282,,"September 04, 2017",,,,,Newbery Medal and Honors,
45,Jane Yolen,Historical Fiction,,Fiction,Penguin Group,"January 1, 1988",10 - 14,70,,"July 12, 2017",,,,,,
46,Aprilynne Pike,Coming of Age,,Fiction,,"April 30, 2012",13 - 17,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 20, 2019",,,,,,
47,,Science Fiction,"Sports and Martial Arts, Brothers and Sisters, Misfits and Underdogs",Fiction,G.P. Putnam's Sons,"April 21, 2015",12 - 17,160,"Paperback, iBooks, Kindle","June 19, 2019",Kaari,"Marie Lu, Leigh Dragoon",,,,
48,Paolo Bacigalupi,Science Fiction,,Fiction,"Little, Brown Books for Young Readers","May 1, 2010",12 - 17,336,,"June 19, 2019",,,,,,
49,Phillip M. Hoose,Biography,Activism,Non-Fiction,"Farrar, Straus and Giroux","January 20, 2009",13 - 17,114,,"March 29, 2019",,,,,Newbery Medal and Honors,
50,Jill Hathaway,Fantasy,"Magic and Fantasy, Adventures, Brothers and Sisters, Friendship, High School, Misfits and Underdogs",Fiction,Balzer + Bray,"March 26, 2013",14 - 18,272,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
51,Trenton Lee Stewart,Mystery,"Friendship, Great Boy Role Models, Misfits and Underdogs",Fiction,"Little, Brown Books for Young Readers","April 10, 2012",8 - 12,480,,"June 20, 2019",Diana Sudyka,,,,,
52,Jonathan Safran Foer,Contemporary Fiction,"Friendship, History, Misfits and Underdogs",Fiction,Mariner Books,"October 18, 2018",0,368,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,ALA Best and Notable Books,
53,Walter Dean Myers,Coming of Age,Misfits and Underdogs,Fiction,HarperCollins Children's Books,"January 1, 1999",12,281,,"July 22, 2019",Christopher Myers,,,,Coretta Scott King Medal and Honors,
54,Olivier Dunrea,Board,"Adventures, Friendship, Great Boy Role Models, Great Girl Role Models, Wild Animals",Fiction,HMH Books for Young Readers,"August 26, 2002",,32,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 13, 2020",Olivier Dunrea,,,,,
55,Louise Borden,School,,Fiction,Margaret K. McElderry,"July 1, 2008",4 - 7,40,,"July 13, 2017",Joan Rankin,,,,,
56,Sara Raasch,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Misfits and Underdogs",Fiction,Balzer + Bray,"October 14, 2014",14 - 18,432,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
57,Sara Shepard,Contemporary Fiction,,Fiction,HarperTeen,"August 21, 2007",,320,,"June 19, 2019",,,,,,
58,Keke Palmer,Advice,"Arts and Dance, Brothers and Sisters, Friendship, Great Girl Role Models",Non-Fiction,North Star Way,"January 31, 2017",,320,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
59,Philip Pullman,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Cats, Dogs, and Mice, Great Boy Role Models, Monsters, Ghosts, and Vampires, Science and Nature",Fiction,Knopf,"October 19, 2017",,464,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","November 24, 2017",,,,,,
60,Stephanie Garber,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Monsters, Ghosts, and Vampires",Fiction,Flatiron Books,"May 7, 2019",,416,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 22, 2019",,,,,,
61,David Ezra Stein,Picture Book,,Fiction,Candlewick Press,"August 1, 2010",,40,,"March 04, 2020",David Ezra Stein,,,,Caldecott Medal and Honors,
62,Brendan Wenzel,Picture Book,"Cats, Dogs, and Mice, Science and Nature, Wild Animals",Fiction,Chronicle Books,"August 30, 2016",2 - 5,44,"Nook, Hardback, iBooks, Kindle","July 13, 2017",Brendan Wenzel,,,,Caldecott Medal and Honors,
63,Lemony Snicket,Mystery,"Book Characters, Brothers and Sisters, Great Boy Role Models",Fiction,"Little, Brown and Company","April 1, 2014",8 - 12,264,"Audiobook (unabridged), Hardback, Kindle","June 19, 2019",Seth,,,,,
64,Stefan Bachmann,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Friendship, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Greenwillow Books,"September 18, 2012",9 - 17,384,"Nook, Hardback, iBooks, Kindle","July 18, 2018",,,,,,
65,Mini Grey,Picture Book,"Adventures, Friendship, Space and Aliens",Fiction,Random House Children's Books,"May 14, 2013",5 - 8,32,"Nook, Hardback, iBooks, Kindle","July 13, 2017",Mini Grey,,,,,
66,Holly Black,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Brothers and Sisters, Friendship, High School, Misfits and Underdogs",Fiction,"Little, Brown and Company","January 13, 2015",12 - 18,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
67,Amy Kathleen Ryan,Coming of Age,,Fiction,Houghton Mifflin Children's Books,"October 6, 2008",12 - 14,256,,"July 13, 2017",,,,,,
68,Charlie McDonnell,Science,"STEM, Science and Nature",Non-Fiction,Quadrille,"November 28, 2016",,255,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","March 29, 2019",,,,,,
69,Dr. Seuss,For Beginning Readers,,Fiction,Random House,"April 12, 1953",4 - 7,54,,"July 12, 2017",Dr. Seuss,,,,,
70,Anne Marie Pace,Picture Book,"Arts and Dance, Monsters, Ghosts, and Vampires",Fiction,Disney-Hyperion,"August 7, 2012",2 - 8,40,Hardback,"July 13, 2017",LeUyen Pham,,,,,
71,Sid Fleischman,Adventure,"Princesses, Fairies, Mermaids, and More, Adventures, Friendship, Misfits and Underdogs",Fiction,Greenwillow Books,"April 1, 1986",,89,"Paperback, Hardback","August 27, 2015",Peter Sis,,,,Newbery Medal and Honors,
72,TE Carter,Contemporary Fiction,"Friendship, High School, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Feiwel and Friends,"February 27, 2018",13 - 17,320,"Paperback, Nook, Hardback, iBooks, Kindle","August 30, 2018",,,,,,
73,Amy Herrick,Fantasy,"Magic and Fantasy, Friendship, Science and Nature",Fiction,Algonquin Young Readers,"August 27, 2013",10 - 14,320,"Nook, Audiobook (unabridged), Hardback, Kindle","July 13, 2017",,,,,,
74,Samantha Shannon,Fantasy,"Magic and Fantasy, Adventures, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Bloomsbury USA,"January 27, 2015",15 - 18,528,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 06, 2020",,,,,,
75,Barry Jonsberg,Friendship,,Fiction,Alfred A. Knopf,"November 13, 2005",,257,,"September 03, 2015",,,,,,
76,Adam Rubin,Humor,"Misfits and Underdogs, Wild Animals",Fiction,Dial Books,"September 3, 2013",3 - 5,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Daniel Salmieri,,,,,
77,Emmy Laybourne,Science Fiction,"Adventures, Brothers and Sisters, Misfits and Underdogs",Fiction,Feiwel and Friends,"May 28, 2013",13 - 17,224,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
78,Marissa Moss,Fantasy,"Magic and Fantasy, Adventures, Brothers and Sisters, History",Fiction,Sourcebooks,"September 4, 2012",9 - 12,224,"Nook, Hardback, Kindle","July 13, 2017",Marissa Moss,,,,,
79,Emily Gravett,Picture Book,,Fiction,Simon & Schuster,"September 9, 2008",4 - 7,32,,"July 13, 2017",Emily Gravett,,,,,
80,Adam Rex,Picture Book,"Friendship, Misfits and Underdogs",Fiction,Chronicle Books,"August 1, 2017",,48,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Adam Rex,,,,,
81,Matthew Gray Gubler,Friendship,"Friendship, Misfits and Underdogs",Fiction,Random House Books for Young Readers,"April 2, 2019",6 - 18,136,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","January 06, 2020",Matthew Gray Gubler,,,,,
82,Alexandra Day,Picture Book,,Fiction,"Farrar, Straus and Giroux","January 17, 2012",3 - 8,40,,"July 13, 2017",Alexandra Day,,,,,
83,Rachel Hartman,Fantasy,"Magic and Fantasy, Adventures, Great Girl Role Models",Fiction,Random House Books for Young Readers,"March 10, 2015",12 - 17,608,"Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
84,Sonya Mukherjee,Coming of Age,"Brothers and Sisters, Friendship, High School",Fiction,Simon & Schuster Books for Young Readers,"July 26, 2016",,336,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
85,Lincoln Peirce,Humor,"Arts and Dance, Friendship, History, Misfits and Underdogs",Fiction,HarperCollins Children's Books,"October 19, 2010",8 - 12,224,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Lincoln Peirce,,,,,
86,Kathryn Fitzmaurice,Family Life,"Adventures, Friendship, Great Girl Role Models",Fiction,Katherine Tegen Books,"February 19, 2013",9 - 12,352,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
87,Julianne Moore,Picture Book,"Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,Bloomsbury USA,"September 13, 2011",4 - 8,40,"Paperback, Nook, Hardback, iBooks, Kindle","June 19, 2019",LeUyen Pham,,,,,
88,Kevin Henkes,Friendship,,Fiction,William Morrow,"January 1, 1986",4 - 7,30,,"July 12, 2017",Kevin Henkes,,,,,
89,James Dashner,Science Fiction,"Magic and Fantasy, Adventures, Friendship, Great Boy Role Models",Fiction,Delacorte Press,"August 26, 2014",12 - 17,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
90,Eric Rohmann,Friendship,,Fiction,Roaring Brook Press,"May 1, 2002",4 - 7,32,,"June 19, 2019",Eric Rohmann,,,,Caldecott Medal and Honors,
91,Dick King-Smith,Fantasy,,Fiction,,"January 1, 1985",9 - 12,118,,"July 12, 2017",Mary Rayner,,,,,
92,Joshua C. Cohen,Sports,"Sports and Martial Arts, High School, Misfits and Underdogs",Fiction,Dutton Books,"February 17, 2012",,304,,"January 27, 2016",,,,,,
93,Sally Warner,Friendship,"Brothers and Sisters, Friendship, Misfits and Underdogs",Fiction,Viking Juvenile,"May 16, 2013",6 - 8,144,"Paperback, Nook, Hardback, iBooks, Kindle","July 13, 2017",Brian Biggs,,,,,
94,Laura Ingalls Wilder,Historical Fiction,"Adventures, Brothers and Sisters, Great Girl Role Models, History",Fiction,HarperCollins Children's Books,"January 1, 1932",7 - 12,256,"Paperback, Hardback, iBooks, Kindle","June 19, 2019",Garth Williams,,,,ALA Best and Notable Books,
95,Julie Cross,Science Fiction,"Adventures, High School",Fiction,St. Martin's Griffin,"January 12, 2012",14 - 18,352,,"June 19, 2019",,,,,,
96,Susan Verde,Picture Book,"Friendship, Great Boy Role Models, Great Girl Role Models",Fiction,Harry N. Abrams,"September 17, 2020",3 - 7,32,"Nook, Hardback, iBooks, Kindle","March 02, 2020",Peter H. Reynolds,,,,,
97,Vashti Harrison,Biography,"Arts and Dance, Great Girl Role Models, History, Science and Nature",Non-Fiction,"Little, Brown Books for Young Readers","November 6, 2018",8 - 11,96,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Vashti Harrison,,,,,
98,Susan Meddaugh,For Beginning Readers,"Magic and Fantasy, Book Characters, Brothers and Sisters, Cats, Dogs, and Mice, Friendship",Fiction,Houghton Mifflin Harcourt,"July 19, 2010",4 - 8,24,"Paperback, Nook, Hardback, iBooks, Kindle","June 19, 2019",Karen Barss,,,,,
99,Cornelia Funke,Fantasy,,Fiction,Scholastic Inc.,"October 12, 2003",11 - 14,352,,"February 06, 2020",Cornelia Funke,,,,,
100,Frank Portman,Coming of Age,"Friendship, High School, Misfits and Underdogs",Fiction,Delacorte Press,"April 30, 2006",,344,,"June 19, 2019",,,,,,
101,Kate Beasley,Humor,"Adventures, Brothers and Sisters, Friendship, Misfits and Underdogs",Fiction,"Farrar, Straus and Giroux","June 5, 2018",8 - 12,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Dan Santat,,,,,
102,Jesse Andrews,Coming of Age,"Adventures, Friendship",Fiction,Harry N Abrams,"April 5, 2016",,336,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
103,Art Spiegelman,Graphic Novel,"History, Misfits and Underdogs",Non-Fiction,Penguin Group,"October 2, 2003",,296,"Paperback, Nook, Hardback, iBooks, Kindle","January 15, 2019",Art Spiegelman,,,,,
104,Ernest Cline,Science Fiction,STEM,Fiction,Crown Publishing Group,"August 16, 2011",,376,,"March 29, 2019",,,,,,
105,Ann Brashares,Friendship,,Fiction,Delacorte Press,"January 13, 2009",13 - 17,320,,"July 13, 2017",,,,,,
106,Lauren Kate,Fantasy,,Fiction,Delacorte Press,"December 1, 2009",12 - 17,452,,"June 19, 2019",,,,,,
107,Catherynne M. Valente,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Fairy Tales, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Feiwel and Friends,"May 10, 2011",10 - 17,256,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Ana Juan,,,,,
108,,Adventure,"Adventures, Brothers and Sisters, Friendship, Science and Nature, Wild Animals",Fiction,Puffin Books,"November 19, 2013",8 - 18,224,"Paperback, Nook, Audiobook (unabridged), iBooks, Kindle","June 19, 2019",,"Jeff Probst, Chris Tebbetts",,,,
109,Linda Sue Park,Picture Book,"Activism, Book Characters, Brothers and Sisters, Great Girl Role Models",Fiction,Houghton Mifflin Harcourt,"September 3, 2019",4 - 7,32,"Nook, Hardback, iBooks, Kindle","February 04, 2020",Brian Pinkney,,,,ALA Best and Notable Books,
110,Michael Buckley,Science Fiction,"Magic and Fantasy, Adventures, High School, Misfits and Underdogs, Ocean Creatures",Fiction,HMH Books for Young Readers,"February 2, 2016",12 - 18,368,"Hardback, iBooks, Kindle","June 19, 2019",,,,,,
111,Julie Murphy,Romance,"Friendship, High School, Misfits and Underdogs",Fiction,Balzer + Bray,"March 18, 2014",14 - 18,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 13, 2017",,,,,,
112,,Fantasy,"Magic and Fantasy, Sports and Martial Arts, Adventures, Friendship, Great Girl Role Models",Fiction,Amulet Books,"July 16, 2019",,442,"Nook, Hardback, iBooks, Kindle","August 26, 2019",,"F.C. Yee, Michael Dante DiMartino",,,,
113,Shannon Hale,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Friendship, Great Girl Role Models, High School, Misfits and Underdogs",Fiction,Bloomsbury USA,"January 29, 2006",10 - 14,250,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","October 18, 2017",,,,,Newbery Medal and Honors,
114,Elizabeth Winthrop,Holiday,,Fiction,Delacorte Press,"October 1, 2006",,36,,"September 28, 2015",Bagram Ibatoulline,,,,,
115,Adam-Troy Castro,Fantasy,"Magic and Fantasy, Adventures, Cats, Dogs, and Mice, Friendship, Misfits and Underdogs",Fiction,Grosset & Dunlap,"August 16, 2012",8 - 12,232,Hardback,"July 13, 2017",Kristen Margiotta,,,,,
116,,Friendship,"Adventures, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Sourcebooks Fire,"August 1, 2019",13 - 18,272,"Paperback, Kindle","August 09, 2019",,"Gilly Segal, Kimberly Jones",,,,
117,Michelle Gagnon,Mystery,"Adventures, Friendship, Misfits and Underdogs",Fiction,HarperCollins Publishers,"August 26, 2014",14 - 17,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 20, 2019",,,,,,
118,Jane O'Connor,Mystery,"Friendship, Great Girl Role Models",Fiction,HarperCollins Children's Books,"April 3, 2012",7 - 10,128,,"June 19, 2019",Robin Preiss Glasser,,,,,
119,Sharon Robinson,Biography,Sports and Martial Arts,Non-Fiction,Scholastic Press,"October 1, 2009",4 - 8,40,,"July 13, 2017",Kadir Nelson,,,,,
120,Rosanne Parry,Animals,"Adventures, Science and Nature, Wild Animals",Fiction,Greenwillow Books,"May 7, 2019",8 - 12,25,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","July 18, 2019",Mónica Armiño,,,,,
121,Erika L. Sanchez,Coming of Age,"Great Girl Role Models, High School, Misfits and Underdogs",Fiction,Knopf Books for Young Readers,"October 17, 2017",14 - 18,344,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
122,Loren Long,Holiday,"Adventures, Friendship, Holidays, Horses and Farm Animals, Science and Nature",Fiction,Philomel,"October 22, 2013",3 - 7,40,"Nook, Hardback, iBooks, Kindle","October 18, 2017",Loren Long,,,,,
123,Joe Fenton,Picture Book,,Fiction,Simon & Schuster,"September 2, 2008",4 - 7,32,,"July 13, 2017",Joe Fenton,,,,,
124,Philip C. Stead,Picture Book,,Fiction,Roaring Brook Press,"May 25, 2010",2 - 6,32,,"February 10, 2020",Erin E. Stead,,,,Caldecott Medal and Honors,
125,April Genevieve Tucholke,Fantasy,"Magic and Fantasy, Fairy Tales",Fiction,Dial Books,"March 22, 2016",14 - 18,252,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
126,Adib Khorram,Coming of Age,"Book Characters, Friendship, Great Boy Role Models, High School, Misfits and Underdogs",Fiction,Dial Books for Young Readers,"August 28, 2018",12 - 18,314,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,ALA Best and Notable Books,
127,Klaus Hagerup,Friendship,,Fiction,Front Street,"April 1, 2009",14 - 17,208,,"June 19, 2019",,,,,,
